Hugo_Symbol	Entrez_Gene_Id	TCGA-W5-AA2I-11	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-11	TCGA-W5-AA2U-11	TCGA-W5-AA2X-11	TCGA-W5-AA30-11	TCGA-W5-AA31-11	TCGA-W5-AA34-11	TCGA-ZU-A8S4-11
CLPB	81570	1137.32	530.303	568.855	424.226	539.53	568.312	815.789	815.768	755.905
CLPP	8192	1407.76	1523.42	1014.46	1566.29	1149.57	1274.07	1166.06	880.933	1406.46
CLPS	1208	0	0	0	0	0	0	0	0	0
CLPTM1	1209	4952.83	4034.44	3877.7	3486.46	3511.75	4341.42	5069.87	4769.91	4153.14
CLPTM1L	81037	4109.01	2670.8	2381.61	1570.75	1723.29	2478.32	3121.6	2035.4	5868.04
CLPX	10845	1832.29	1411.85	2270.68	1691.32	1525.64	1660.21	2162.43	2309.73	1899.54
CLRN1	7401	0	0	0	0	0	0	0	0	0
CLRN1OS	116933	11.5304	1.3774	9.4809	6.6983	2.1368	0	1.8149	12.0676	2.1721
CLRN2	645104	0	0	0	1.1164	0	0	0	0	0
CLRN3	119467	1335.43	588.154	874.141	653.084	538.462	1014.45	1077.13	798.069	797.176
CLSPN	63967	2.0964	4.1322	0	0	2.1368	4.3632	2.7223	4.0225	3.2582
CLSTN1	22883	615.304	1534.44	620.052	860.731	1388.89	1443.14	674.229	586.484	781.971
CLSTN2	64084	10.4822	42.6997	28.4428	16.7457	30.9829	46.9048	13.6116	16.0901	6.5164
CLSTN3	9746	2003.14	2236.91	1556.77	1787.33	2146.37	2619.03	1659.71	1487.53	1304.37
CLTA	1211	1909.85	2275.48	1456.27	2250.63	1886.75	2134.72	1658.8	1842.32	1965.79
CLTB	1212	1402.52	1444.9	1452.48	1174.43	1266.03	1156.26	1043.56	1145.62	1431.44
CLTC	1213	7360.59	5790.63	8614.36	6132.29	6942.31	7016.09	9093.47	8802.09	8531.09
CLTCL1	8218	223.27	123.967	127.044	92.6598	160.256	121.08	136.116	142.397	143.361
CLU	1191	227718	146384	167144	200712	165684	196026	218390	128603	254938
CLUAP1	23059	245.283	217.631	99.5497	243.371	252.457	172.348	225.554	185.841	214.184
CLUL1	27098	2.0964	1.3774	0.9481	2.2328	5.3419	0	0	0.8045	1.0861
CLVS1	157807	3.7841	6.9559	0	0	0	2.2143	5.2632	8.2462	0
CLVS2	134829	0	0	0	0	0	0	0	0	0
CLYBL	171425	1376.31	870.523	1106.42	1090.71	1168.8	1025.36	1333.94	1413.52	1150.15
CMA1	1215	0	8.2645	3.7924	1.1164	0	8.7265	0.9074	0	10.8607
CMAH	8418	72.327	210.744	125.148	398.549	216.88	289.065	74.4102	90.9091	118.382
CMAS	55907	2067.09	1141.87	1076.08	1211.28	1108.97	1511.86	1940.11	2394.21	1354.33
CMBL	134147	14753.7	6621.21	7543.97	9464.69	9477.56	6304.88	17511.8	14219.6	9152.32
CMC1	152100	321.803	285.124	243.66	317.053	236.111	306.518	263.158	311.344	342.112
CMIP	80790	1048.22	971.074	818.203	839.52	951.923	1040.63	1042.65	1028.96	652.729
CMKLR1	1240	82.8092	398.072	145.058	247.837	275.641	283.611	225.953	82.0595	321.477
CMPK1	51727	6765.2	6108.82	7930.79	7713.09	7695.51	7235.34	7361.16	8840.71	7098.56
CMPK2	129607	124.738	107.438	62.5741	80.3796	111.111	78.5383	101.633	128.721	122.726
CMTM1	113540	14.6751	26.1708	21.8061	16.7457	42.735	27.2702	18.1488	14.4811	14.1189
CMTM2	146225	0	1.3774	5.6886	1.1164	10.6838	3.2724	11.7967	1.609	9.7746
CMTM3	123920	135.22	465.565	164.02	264.583	387.82	389.419	147.005	106.999	222.645
CMTM4	146223	176.101	165.289	268.31	136.199	170.94	161.44	115.245	302.494	143.361
CMTM5	116173	1.0482	0	0.9481	3.3491	1.0684	6.5449	0	0.8045	1.0861
CMTM6	54918	4290.36	4184.57	4864.66	4229.97	3873.93	4770.11	5792.2	5807.72	4909.04
CMTM7	112616	93.2914	298.898	110.927	219.927	240.385	185.438	122.504	91.7136	185.718
CMTM8	152189	823.899	612.948	467.409	781.468	502.137	764.658	678.766	660.499	538.691
